date,value
2020-03-31,3.0587834440946735
2020-06-30,4.466884768002137
2020-09-30,5.921187534662026
2020-12-31,10.788246104408435
2021-03-31,17.374692118318773
2021-06-30,1.5
2021-09-30,2.2459199823928566
2021-12-31,2.165229664972911
2022-03-31,1.5
2022-06-30,2.0175864604025544
2022-09-30,1.906394521358558
2022-12-31,3.87798281791368
2023-03-31,5.511970978185477
2023-06-30,5.8094705983542845
2023-09-30,3.8079752739668544
2023-12-31,4.045755113807855
2024-03-31,1.5
2024-06-30,1.5
2024-09-30,2.2838181192536857
2024-12-31,2.0889812960956817
2025-03-31,2.370064248536032
2025-06-30,1.8062230654369493
