date,value
2020-01-31,10.54774382265963
2020-02-29,10.039534901116177
2020-03-31,8.942337285841676
2020-04-30,8.894011046339546
2020-05-31,8.615950810756402
2020-06-30,8.618279594197563
2020-07-31,7.457725241406144
2020-08-31,7.126057229154712
2020-09-30,6.7577359780758535
2020-10-31,6.3528724619241945
2020-11-30,6.536925346342454
2020-12-31,6.383120376852953
2021-01-31,6.372245233180734
2021-02-28,6.048415879846869
2021-03-31,6.261906171238969
2021-04-30,6.452088219893005
2021-05-31,5.804726505189679
2021-06-30,5.8218677129087695
2021-07-31,5.970155108913687
2021-08-31,5.25
2021-09-30,5.25
2021-10-31,5.694203954547828
2021-11-30,6.160288718792935
2021-12-31,6.500116484064066
2022-01-31,5.8143634181812125
2022-02-28,6.273978984403876
2022-03-31,5.606611246462301
2022-04-30,5.6992601181466105
2022-05-31,6.12547992444338
2022-06-30,6.232970299356649
2022-07-31,6.40377580164913
2022-08-31,7.298446695955342
2022-09-30,6.757192065714807
2022-10-31,7.103927335329859
2022-11-30,7.497598975597894
2022-12-31,8.71887769235186
2023-01-31,8.531991482532593
2023-02-28,8.527251073416616
2023-03-31,9.14860487888502
2023-04-30,9.928685982222332
2023-05-31,10.68037988660795
2023-06-30,10.525959631743127
2023-07-31,9.970914860773526
2023-08-31,10.207364213652374
2023-09-30,9.889860273599794
2023-10-31,9.60317249852025
2023-11-30,9.121114792390875
2023-12-31,8.79554699568786
2024-01-31,9.310354918709757
2024-02-29,8.747998500514706
2024-03-31,8.66126109529311
2024-04-30,9.613087228011883
2024-05-31,9.858156850086448
2024-06-30,10.073424045106156
2024-07-31,10.589929052581537
2024-08-31,11.75452724871221
2024-09-30,12.397885723369608
2024-10-31,13.585107136687714
2024-11-30,12.871629453276697
2024-12-31,12.183461684338766
2025-01-31,11.404923786961865
2025-02-28,11.185793243413741
2025-03-31,11.033424257285912
2025-04-30,11.94491657567675
2025-05-31,12.019686715998239
2025-06-30,13.88175161352374
2025-07-31,14.60624882879457
