date,value
2020-01-31,98.82855602692874
2020-02-29,100.5496592945158
2020-03-31,104.84937374209719
2020-04-30,106.791697958311
2020-05-31,102.8049191076278
2020-06-30,102.61012935328905
2020-07-31,100.08428305632638
2020-08-31,99.76370346238718
2020-09-30,97.7261694396798
2020-10-31,100.04429183161709
2020-11-30,100.32272856784999
2020-12-31,100.37377991506504
2021-01-31,101.68583112845944
2021-02-28,105.10132098511853
2021-03-31,108.45088714257984
2021-04-30,108.77587728436578
2021-05-31,108.82887629251503
2021-06-30,108.42601473130745
2021-07-31,107.82268513213852
2021-08-31,108.72174085981901
2021-09-30,105.93298831260033
2021-10-31,102.69494944043996
2021-11-30,103.93539351021357
2021-12-31,102.28833996448195
2022-01-31,101.96928515789493
2022-02-28,102.79684492246253
2022-03-31,103.70287094767349
2022-04-30,103.6947772969815
2022-05-31,101.74031272029599
2022-06-30,106.24879141083284
2022-07-31,103.7015855616943
2022-08-31,107.41909340453509
2022-09-30,108.51202571207713
2022-10-31,110.1274317189383
2022-11-30,112.76695148181003
2022-12-31,114.19081458061392
2023-01-31,116.66956480287729
2023-02-28,114.80747419745771
2023-03-31,113.99378231111027
2023-04-30,112.23741584691601
2023-05-31,110.47834865372658
2023-06-30,106.48509695730262
2023-07-31,107.43172952382393
2023-08-31,108.31507374568857
2023-09-30,105.05086525206276
2023-10-31,103.41602480019324
2023-11-30,107.1052263282902
2023-12-31,106.16548793686266
2024-01-31,107.1399679043521
2024-02-29,105.58057217733612
2024-03-31,104.82807335280079
2024-04-30,104.76542166840039
2024-05-31,104.36896070103113
2024-06-30,100.64274021195091
2024-07-31,102.56529372173559
2024-08-31,102.15305769594521
2024-09-30,104.75201693023578
2024-10-31,105.64027876323703
2024-11-30,106.66279259220106
2024-12-31,105.7718608245246
2025-01-31,101.08788964642389
2025-02-28,100.36404190697921
2025-03-31,102.86388547640449
2025-04-30,101.75941951028568
2025-05-31,105.22954494482184
2025-06-30,104.70130914477834
2025-07-31,108.68083377207707
